,id,url,priority,page,fetched,price_currency,price_value,ad_id,posted_weekday,posted_time,posted_month,posted_day,posted_year,delivery_offered,price_negotiable,condition,year,make,model,current_location,import_duty_paid,mileage,transmission,four_wheel_drive,location,description
0,1,https://www.zoomtanzania.com/4x4s-suvs/2006-nissan-patrol-1127560?s=3778d48927e4cf422ca9563d4c154d85,gold,1,1,TSh,"40,000,000",1127560,Friday,01:40:00,November,02,2018,No,Yes,Used,2006,Nissan,Patrol,In Tanzania,Yes,,Stick Shift,yes,"Ilala, Upanga Mashariki

Dar Es Salaam",In Good Condition
1,2,https://www.zoomtanzania.com/sedans/2005-bmw-1202334?s=3778d48927e4cf422ca9563d4c154d85,gold,1,1,TSh,"19,500,000",1202334,Friday,02:47:00,November,02,2018,No,Yes,Used,2005,BMW,5 Series,In Tanzania,Yes,108000,Automatic,yes,"Kinondoni, Mbezi

Dar Es Salaam","Used 2005 BMW 5 SERIES 525I HIGHLINEPLATE NO IS: T853 DFTModel Code: GH-NA25
Engine Size: 2,490cc 
Engine Code: 256S
Drive Steering: Right
Transmiss: Automatic 
Ext. Color: Gray
Year/month: 2005/11
Fuel: Petrol
Manufacture"
2,3,https://www.zoomtanzania.com/hatchbacks/2005-toyota-ist-1185385?s=3778d48927e4cf422ca9563d4c154d85,silver,1,1,TSh,"7,700,000",1185385,Monday,09:25:00,October,08,2018,No,Yes,Used,2005,Toyota,IST,In Tanzania,Yes,,Automatic,no,"Kinondoni, Magomeni

Dar Es Salaam","ist namba c nzuri sana
full vibal full ac
cc 1290 2nz model 2005
haina shida yoyote ile
bei 7.7m maongez"
3,4,https://www.zoomtanzania.com/pickups/1997-suzuki-carry-1163628?s=3778d48927e4cf422ca9563d4c154d85,silver,1,1,TSh,"7,800,000",1163628,Monday,15:53:00,October,29,2018,No,Yes,Used,1997,Suzuki,Carry,In Tanzania,Yes,,Automatic,no,"Kinondoni, Sinza

Dar Es Salaam","Make Suzuki
Model Carry
Year 1997
Cc 660
Km 30,258
5 Gear
4wl drive
4maker stering
Price 7.8m(Negt)"
4,5,https://www.zoomtanzania.com/sedans/2004-toyota-crown-royal-saloon-1160922?s=3778d48927e4cf422ca9563d4c154d85,silver,1,1,TSh,"14,800,000",1160922,Thursday,12:27:00,September,13,2018,,No,Used,2004,Toyota,Crown Royal Saloon,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Crown royal
Year:2004
Cc:2490
4GR Engine
Km:73,000
Automatic Transmission
Push to Start
Full option
Music system
New Tyres
Bei:14.8M"
5,6,https://www.zoomtanzania.com/hatchbacks/2005-toyota-vitz-1185360?s=3778d48927e4cf422ca9563d4c154d85,silver,1,1,TSh,"5,700,000",1185360,Monday,09:25:00,October,08,2018,No,Yes,Used,2005,Toyota,Vitz,In Tanzania,Yes,,Automatic,no,"Kinondoni, Magomeni

Dar Es Salaam","vitz new model nzuri sana
full vibal full ac
cc 1290 2nz vvti
model 2005
bei 5.7m maongez"
6,7,https://www.zoomtanzania.com/sedans/2006-toyota-allex-1167698?s=3778d48927e4cf422ca9563d4c154d85,silver,1,1,TSh,"10,300,000",1167698,Thursday,11:05:00,September,20,2018,,No,Used,2006,Toyota,Allex,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Allex for sell
Year 2006
Cc1490
Well maintained
Low mileage
Good condition
Price 10,3 Mln top"
7,8,https://www.zoomtanzania.com/4x4s-suvs/2002-toyota-voltz-1179881?s=3778d48927e4cf422ca9563d4c154d85,silver,1,1,TSh,"9,000,000",1179881,Monday,09:53:00,October,29,2018,No,No,Used,2002,Toyota,Voltz,In Tanzania,Yes,,Automatic,no,"Kinondoni, Sinza

Dar Es Salaam","Make Toyota
Model Voltz
Year 2002
Cc 1790
Km 116,000
Engn Izz(Vvti)
Fuel Petrol
Auto transmission
Price 9m(Negt)"
8,9,https://www.zoomtanzania.com/hatchbacks/2000-toyota-cami-1188437?s=3778d48927e4cf422ca9563d4c154d85,silver,1,1,TSh,"6,800,000",1188437,Thursday,11:18:00,October,11,2018,No,No,Used,2000,Toyota,Cami,In Tanzania,Yes,,Automatic,no,"Kinondoni, Sinza

Dar Es Salaam","Toyota CAMi (BDS)
year 2000
cc 1290
low kms
price 6.8m."
9,10,https://www.zoomtanzania.com/hatchbacks/2003-toyota-runx-1170643?s=3778d48927e4cf422ca9563d4c154d85,silver,1,1,TSh,"7,700,000",1170643,Friday,15:43:00,September,21,2018,No,Yes,Used,2003,Toyota,RunX,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Runx namba c nzuri sana
Full vibal full ac
Haijapigwa rangi popote
Model 2003 km 96,995
Bei 7.7m neg"
