REGION,DISTRICT,MALE,FEMALE
ARUSHA,ARUSHA RURAL,32475.0,33698.0
ARUSHA,ARUSHA URBAN,36315.0,36993.0
ARUSHA,KARATU,23303.0,23181.0
ARUSHA,LONGIDO,10584.0,9045.0
ARUSHA,MERU,33854.0,34171.0
ARUSHA,MONDULI,13689.0,12888.0
ARUSHA,NGORONGORO,16017.0,12162.0
DAR ES SALAAM,ILALA,73129.0,78309.0
DAR ES SALAAM,KINONDONI,91554.0,93921.0
DAR ES SALAAM,TEMEKE,85118.0,88813.0
DODOMA,BAHI,15672.0,15967.0
DODOMA,CHAMWINO,26483.0,28264.0
DODOMA,CHEMBA,,
DODOMA,DODOMA URBAN,35137.0,36806.0
DODOMA,KONDOA,48859.0,55869.0
DODOMA,KONGWA,27169.0,30264.0
DODOMA,MPWAPWA,32176.0,31646.0
GEITA,BUKOMBE,39490.0,40178.0
GEITA,CHATO,39377.0,38393.0
GEITA,GEITA,115698.0,116328.0
GEITA,GEITA URBAN,,
GEITA,MBOGWE,,
GEITA,NYANG'HWALE,,
IRINGA,IRINGA RURAL,28608.0,28990.0
IRINGA,IRINGA URBAN,13115.0,13449.0
IRINGA,KILOLO,29161.0,30316.0
IRINGA,MUFINDI,32996.0,34659.0
KAGERA,BIHARAMULO,20620.0,20865.0
KAGERA,BUKOBA RURAL,27577.0,28264.0
KAGERA,BUKOBA URBAN,10377.0,10654.0
KAGERA,KARAGWE,58254.0,61567.0
KAGERA,KYERWA,,
KAGERA,MISSENYI,19480.0,19354.0
KAGERA,MULEBA,51631.0,51767.0
KAGERA,NGARA,34033.0,35002.0
KATAVI,MLELE,,
KATAVI,MPANDA RURAL,35791.0,35411.0
KATAVI,MPANDA URBAN,9376.0,9565.0
KATAVI,NSIMBO,,
KIGOMA,BUHIGWE,,
KIGOMA,KAKONKO,,
KIGOMA,KASULU,58799.0,60225.0
KIGOMA,KIBONDO,34281.0,34954.0
KIGOMA,KIGOMA RURAL,55053.0,55122.0
KIGOMA,KIGOMA URBAN,20765.0,20768.0
KIGOMA,UVINZA,,
KILIMANJARO,HAI,17866.0,17477.0
KILIMANJARO,MOSHI RURAL,38303.0,38332.0
KILIMANJARO,MOSHI URBAN,13585.0,13743.0
KILIMANJARO,MWANGA,13781.0,13230.0
KILIMANJARO,ROMBO,27554.0,26641.0
KILIMANJARO,SAME,29692.0,29578.0
KILIMANJARO,SIHA,8638.0,8678.0
LINDI,KILWA,18734.0,18970.0
LINDI,LINDI RURAL,17543.0,18427.0
LINDI,LINDI URBAN,6283.0,6462.0
LINDI,LIWALE,9339.0,9668.0
LINDI,NACHINGWEA,15684.0,16152.0
LINDI,RUANGWA,10928.0,11592.0
MANYARA,BABATI RURAL,29144.0,30074.0
MANYARA,BABATI URBAN,7910.0,8081.0
MANYARA,HANANG,26099.0,26670.0
MANYARA,KITETO,16823.0,17030.0
MANYARA,MBULU,28114.0,29437.0
MANYARA,SIMANJIRO,16528.0,13677.0
MARA,BUNDA,43433.0,42739.0
MARA,BUTIAMA,,
MARA,MUSOMA RURAL,49746.0,48706.0
MARA,MUSOMA URBAN,15894.0,16411.0
MARA,RORYA,32334.0,31840.0
MARA,SERENGETI,27962.0,27311.0
MARA,TARIME RURAL,43986.0,42706.0
MARA,TARIME TC,,
MBEYA,BUSOKELO,,
MBEYA,CHUNYA,23919.0,24366.0
MBEYA,ILEJE,14085.0,14695.0
MBEYA,KYELA,26803.0,26423.0
MBEYA,MBARALI,26174.0,26806.0
MBEYA,MBEYA RURAL,31876.0,33828.0
MBEYA,MBEYA URBAN,34366.0,36303.0
MBEYA,MBOZI,69952.0,72439.0
MBEYA,MOMBA,,
MBEYA,RUNGWE,39171.0,40258.0
MOROGORO,GAIRO,,
MOROGORO,KILOMBERO,38781.0,39342.0
MOROGORO,KILOSA,50740.0,53940.0
MOROGORO,MOROGORO RURAL,30269.0,31101.0
MOROGORO,MOROGORO URBAN,24316.0,25275.0
MOROGORO,MVOMERO,28934.0,29473.0
MOROGORO,ULANGA,23082.0,22909.0
MTWARA,MASASI,30091.0,32191.0
MTWARA,MASASI URBAN,,
MTWARA,MTWARA RURAL,22755.0,23119.0
MTWARA,MTWARA URBAN,8405.0,8685.0
MTWARA,NANYUMBU,15033.0,15714.0
MTWARA,NEWALA,17910.0,18524.0
MTWARA,TANDAHIMBA,21980.0,22729.0
MWANZA,ILEMELA,34923.0,36364.0
MWANZA,KWIMBA,40755.0,43045.0
MWANZA,MAGU,58405.0,59754.0
MWANZA,MISUNGWI,33284.0,34264.0
MWANZA,NYAMAGANA,36646.0,38017.0
MWANZA,SENGEREMA,75842.0,75419.0
MWANZA,UKEREWE,39612.0,40203.0
NJOMBE,LUDEWA,16326.0,16295.0
NJOMBE,MAKAMBAKO TC,,
NJOMBE,MAKETE,10530.0,10250.0
NJOMBE,NJOMBE RURAL,36221.0,38706.0
NJOMBE,NJOMBE URBAN,13557.0,13873.0
NJOMBE,WANGING'OMBE,,
PWANI,BAGAMOYO,26931.0,27509.0
PWANI,KIBAHA RURAL,6586.0,6863.0
PWANI,KIBAHA URBAN,10723.0,11019.0
PWANI,KISARAWE,11007.0,11187.0
PWANI,MAFIA,4284.0,4477.0
PWANI,MKURANGA,25027.0,25147.0
PWANI,RUFIJI,24858.0,25292.0
RUKWA,KALAMBO,,
RUKWA,NKASI,22837.0,24019.0
RUKWA,SUMBAWANGA RURAL,49698.0,49326.0
RUKWA,SUMBAWANGA URBAN,21371.0,22910.0
RUVUMA,MBINGA,48552.0,49264.0
RUVUMA,NAMTUMBO,20445.0,21171.0
RUVUMA,NYASA,,
RUVUMA,SONGEA RURAL,19956.0,20108.0
RUVUMA,SONGEA URBAN,19739.0,20782.0
